0.540917 -0.126538 3.12643
1.04168 -0.107988 3.07476

-0.696561 -0.118317 -3.12989
0.347341 -0.0942607 3.13604

-0.696561 -0.118317 -3.12989
-0.419633 -0.115054 -3.13509

0.347341 -0.0942607 3.13604
0.513006 -0.09268 -3.13488

-0.419633 -0.115054 -3.13509
0.513006 -0.09268 -3.13488

-0.419633 -0.115054 -3.13509
0.540917 -0.126538 3.12643

0.513006 -0.09268 -3.13488
1.04168 -0.107988 3.07476

0.540917 -0.126538 3.12643
1.45303 -0.101272 -3.05394

0.540917 -0.126538 3.12643
1.4375 -0.116492 -3.03442

1.4375 -0.116492 -3.03442
1.45303 -0.101272 -3.05394

1.04168 -0.107988 3.07476
1.45303 -0.101272 -3.05394

2.08185 0.00963212 -2.67819
2.47733 0.293248 -2.34211

1.4375 -0.116492 -3.03442
2.06413 -0.0268607 -2.77288

1.45303 -0.101272 -3.05394
2.08185 0.00963212 -2.67819

2.06413 -0.0268607 -2.77288
2.08185 0.00963212 -2.67819

2.06413 -0.0268607 -2.77288
2.60963 0.460379 -2.19363

2.60963 0.460379 -2.19363
2.47733 0.293248 -2.34211

2.60963 0.460379 -2.19363
2.8266 0.846706 -1.97023

2.60963 0.460379 -2.19363
2.95395 1.02383 -1.98862

2.47733 0.293248 -2.34211
2.95395 1.02383 -1.98862

2.8266 0.846706 -1.97023
2.95395 1.02383 -1.98862

2.8266 0.846706 -1.97023
3.16123 1.68134 -1.98523

2.8266 0.846706 -1.97023
3.22202 1.8037 -1.9856

2.95395 1.02383 -1.98862
3.22202 1.8037 -1.9856

3.16123 1.68134 -1.98523
3.22202 1.8037 -1.9856

3.16123 1.68134 -1.98523
3.35927 2.14798 -2.01346

3.22202 1.8037 -1.9856
3.32029 2.07434 -2.01079

3.35927 2.14798 -2.01346
3.32029 2.07434 -2.01079

3.35927 2.14798 -2.01346
3.52252 2.4882 -2.01458

3.32029 2.07434 -2.01079
3.53992 2.55448 -2.00653

3.52252 2.4882 -2.01458
3.53992 2.55448 -2.00653

